sim/none/none                                      Do nothing at all!
sim/flight_controls/speed_brakes_down_one          Speedbrakes extend one.
sim/flight_controls/speed_brakes_up_one            Speedbrakes retract one.
sim/flight_controls/speed_brakes_down_all          Speedbrakes extend full.
sim/flight_controls/speed_brakes_up_all            Speedbrakes retract full.
sim/flight_controls/speed_brakes_toggle            Speedbrakes toggle.
sim/flight_controls/landing_gear_down              Landing gear down.
sim/flight_controls/landing_gear_up                Landing gear up.
sim/flight_controls/landing_gear_toggle            Landing gear toggle.
sim/flight_controls/landing_gear_emer_on           Landing gear emergency override down.
sim/flight_controls/landing_gear_emer_off          Landing gear emergency override off.
sim/flight_controls/nwheel_steer_toggle            Nosewheel steer toggle.
sim/flight_controls/tail_wheel_lock_toggle         Toggle tailwheel lock.
sim/flight_controls/tail_wheel_lock_engage         Engage tailwheel lock.
sim/flight_controls/left_brake                     Hold brake left.
sim/flight_controls/right_brake                    Hold brake right.
sim/flight_controls/brakes_toggle_regular          Toggle brakes regular effort.
sim/flight_controls/brakes_toggle_max              Toggle brakes max effort.
sim/flight_controls/brakes_regular                 Hold brakes regular.
sim/flight_controls/brakes_max                     Hold brakes maximum.
sim/flight_controls/brakes_toggle_auto             Toggle auto-brakes.
sim/flight_controls/brakes_dn_auto                 Auto-brakes down.
sim/flight_controls/brakes_up_auto                 Auto-brakes up.
sim/systems/yaw_damper_on                          Yaw-damp on.
sim/systems/yaw_damper_off                         Yaw-damp off.
sim/systems/yaw_damper_toggle                      Toggle Yaw-damp.
sim/systems/prop_sync_on                           Prop sync on.
sim/systems/prop_sync_off                          Prop sync off.
sim/systems/prop_sync_toggle                       Prop sync toggle.
sim/systems/feather_mode_down                      Auto-feather mode down.
sim/systems/feather_mode_up                        Auto-feather mode up.
sim/systems/feather_mode_off                       Auto-feather off.
sim/systems/feather_mode_arm                       Auto-feather on.
sim/systems/feather_mode_test                      Auto-feather test.
sim/flight_controls/hydraulic_on                   Engine-driven hydraulic pumps on
sim/flight_controls/hydraulic_off                  Engine-driven hydraulic pumps off
sim/flight_controls/hydraulic_tog                  Engine-driven hydraulic pumps tog
sim/flight_controls/tailhook_down                  Tailhook down.
sim/flight_controls/tailhook_up                    Tailhook up.
sim/flight_controls/tailhook_toggle                Toggle the tailhook.
sim/flight_controls/canopy_open                    Canopy open.
sim/flight_controls/canopy_close                   Canopy close.
sim/flight_controls/canopy_toggle                  Canopy toggle.
sim/flight_controls/rotor_brake_toggle             Toggle rotor brake.
sim/systems/artificial_stability_toggle            Toggle art-stab power.
sim/flight_controls/puffers_toggle                 Toggle puffers
sim/engines/rockets_up                             Orbital maneuver rockets up.
sim/engines/rockets_down                           Orbital maneuver rockets down.
sim/engines/rockets_left                           Orbital maneuver rockets left.
sim/engines/rockets_right                          Orbital maneuver rockets right.
sim/engines/rockets_forward                        Orbital maneuver rockets fore.
sim/engines/rockets_aft                            Orbital maneuver rockets aft.
sim/fuel/fuel_tank_selector_lft_one                Select fuel tank left one.
sim/fuel/fuel_tank_selector_rgt_one                Select fuel tank right one.
sim/fuel/fuel_selector_none                        Set fuel selector to NONE (shut-off).
sim/fuel/fuel_selector_lft                         Set fuel selector to left tanks.
sim/fuel/fuel_selector_ctr                         Set fuel selector to center tanks.
sim/fuel/fuel_selector_rgt                         Set fuel selector to right tanks.
sim/fuel/fuel_selector_all                         Set fuel selector to ALL tanks.
sim/fuel/fuel_transfer_to_lft                      Transfer fuel to left.
sim/fuel/fuel_transfer_to_ctr                      Transfer fuel to center.
sim/fuel/fuel_transfer_to_rgt                      Transfer fuel to right.
sim/fuel/fuel_transfer_to_off                      Transfer fuel to none.
sim/fuel/fuel_transfer_from_lft                    Transfer fuel from left.
sim/fuel/fuel_transfer_from_ctr                    Transfer fuel from center.
sim/fuel/fuel_transfer_from_rgt                    Transfer fuel from right.
sim/fuel/fuel_transfer_from_off                    Transfer fuel from none.
